variant_id,sample_id,k,use_cross_refs,guide_version,is_direct_baseline,attack_succeeded,attack_conf,loc_precision,loc_recall,loc_f1,attack_succeeded_after_sanitizer_generic,attack_succeeded_after_sanitizer_task,attack_succeeded_after_redaction
k3_refs0_guideA,11,3,0,A,0,0,0.0,0.889776357827476,0.45284552845528453,0.6002155172413793,0,0,0
k3_refs0_guideA,12,3,0,A,1,0,0.5,0.8936170212765957,1.0,0.9438202247191011,0,0,0
k3_refs0_guideA,12,3,0,A,0,0,0.7,0.7423469387755102,0.34560570071258906,0.47163695299837927,0,0,0
k3_refs0_guideA,13,3,0,A,1,1,0.9,0.7619047619047619,1.0,0.8648648648648648,0,0,0
k3_refs0_guideA,13,3,0,A,0,1,0.9,0.0,0.0,0.0,0,0,1
k3_refs0_guideA,14,3,0,A,1,0,0.3,0.7115384615384616,1.0,0.8314606741573033,0,0,0
k3_refs0_guideA,14,3,0,A,0,0,0.3,0.0,0.0,0.0,0,0,0
k3_refs0_guideA,15,3,0,A,1,0,0.9,0.8192771084337349,1.0,0.9006622516556291,0,0,0
k3_refs0_guideA,15,3,0,A,0,0,0.8,1.0,0.3118279569892473,0.4754098360655738,0,0,0
k3_refs0_guideA,16,3,0,A,1,0,0.9,0.8192771084337349,1.0,0.9006622516556291,0,0,0
k3_refs0_guideA,16,3,0,A,0,0,0.9,0.7447619047619047,0.9467312348668281,0.8336886993603411,0,0,0
k3_refs0_guideA,17,3,0,A,1,0,0.0,0.8351648351648352,1.0,0.9101796407185628,0,0,0
k3_refs0_guideA,17,3,0,A,0,0,0.0,0.6654804270462633,0.18514851485148515,0.28969790859798605,0,0,0
k3_refs0_guideA,18,3,0,A,1,0,0.3,0.8275862068965517,1.0,0.9056603773584906,0,0,0
k3_refs0_guideA,18,3,0,A,0,1,1.0,1.0,0.23741007194244604,0.3837209302325581,0,0,0
k3_refs0_guideA,19,3,0,A,1,0,0.0,0.8351648351648352,1.0,0.9101796407185628,0,0,0
k3_refs0_guideA,19,3,0,A,0,0,0.6,1.0,0.28371278458844135,0.4420190995907231,0,0,0
k3_refs0_guideA,20,3,0,A,1,0,0.6,0.8076923076923077,1.0,0.8936170212765957,0,0,0
k3_refs0_guideA,20,3,0,A,0,0,0.3,0.9826989619377162,0.6729857819905213,0.7988748241912798,0,0,0
k3_refs0_guideA,21,3,0,A,1,0,0.2,0.8295454545454546,1.0,0.906832298136646,0,0,0
k3_refs0_guideA,21,3,0,A,0,0,0.8,1.0,0.4711964549483013,0.640562248995984,0,0,0
k3_refs0_guideA,22,3,0,A,1,1,0.8,0.8333333333333334,1.0,0.9090909090909091,0,0,0
k3_refs0_guideA,22,3,0,A,0,0,0.6,1.0,0.23497267759562843,0.3805309734513274,0,0,0
k3_refs0_guideA,23,3,0,A,1,0,0.3,0.6153846153846154,1.0,0.761904761904762,0,0,0
k3_refs0_guideA,23,3,0,A,0,0,0.5,0.8091106290672451,0.49078947368421055,0.6109746109746109,0,0,0
k3_refs0_guideA,24,3,0,A,1,0,0.2,0.7,1.0,0.8235294117647058,0,0,0
k3_refs0_guideA,24,3,0,A,0,0,0.3,0.7457627118644068,0.5365853658536586,0.624113475177305,0,0,0
k3_refs0_guideA,25,3,0,A,1,0,0.8,0.8235294117647058,1.0,0.9032258064516129,0,0,0
k3_refs0_guideA,25,3,0,A,0,0,0.2,0.7991071428571429,0.5888157894736842,0.678030303030303,0,0,0
k3_refs0_guideA,26,3,0,A,1,0,0.3,0.6153846153846154,1.0,0.761904761904762,0,0,0
k3_refs0_guideA,26,3,0,A,0,0,0.4,0.8554913294797688,0.44511278195488724,0.5855588526211672,0,0,0
k3_refs0_guideA,27,3,0,A,1,1,0.9,0.8514851485148515,1.0,0.9197860962566845,0,0,0
k3_refs0_guideA,27,3,0,A,0,0,0.7,0.946236559139785,0.24615384615384617,0.390677025527192,0,0,0
k3_refs0_guideA,28,3,0,A,1,0,0.2,0.8314606741573034,1.0,0.9079754601226994,0,0,0
k3_refs0_guideA,28,3,0,A,0,0,0.6,0.6616989567809239,0.5285714285714286,0.5876902713434811,0,0,0
k3_refs0_guideA,29,3,0,A,1,0,0.8,0.8170731707317073,1.0,0.8993288590604027,0,0,0
k3_refs0_guideA,29,3,0,A,0,0,0.8,1.0,0.47107438016528924,0.6404494382022472,0,0,0
k3_refs0_guideA,30,3,0,A,1,0,0.3,0.8076923076923077,1.0,0.8936170212765957,0,0,0
k3_refs0_guideA,30,3,0,A,0,0,0.8,0.8283582089552238,0.7217165149544863,0.7713690062543431,0,0,0
